Solution,Application Description Text,Availability Target,Graph Algorithms,Graph Features (top 6),ROI Dashboard Metrics,ML Models,Sample CoPilot Questions
Supply Chain Management,"Supply chain management is fully of dependencies: a product is the result of hundreds of upstream components and processes fulfilling their requirements.  Unfortunately, manufacturers (and other business that have multiple levels of inputs contributing to the final outputs) often cannot get basic reports on bill of materials, timeliness and efficiency, because their information is spread across too many systems, or the systems are poor at working with dependencies.  A graph-based operational digital twin of a supply chain can solve these problems. The graph excels at modeling dependencies. Not only does it show you the current state of your supply chain (observability), but it can simulate operations, to help you response agilely to shocks and to make preemptive changes to improve supply chain resiliency.
Observability and monitoring: 
Tracing impact and root causes: When a particular component/supply/region is disrupted and can't be fixed immeditately, the business needs to be able to trace downstream to see what will be affected. A graph-based digital twin can show and report on downstream effects using Directed Breadth First Search.  Similarly, the digital twin can trace upstream to see what are the possible root causes of a defect.
Identifying alternatives: 
Assessing risks and improving resiliency: Supply change shocks and disruptions WILL occur, but well-prepared businesses work to minimize both the likelihood and impact of disruptions. Algorithms such as degree centrality and betweenness centrality can identity the riskiest stages of a supply chain.",Q2,"Betweenness Centrality
Shortest Path
MaxFlow
Transitive Closure (Breadth First Search)
Degree Centrality",In design,In design,,https://dmccrearytg.github.io/copilot-metadata/questions/supply-chain-management/
Inventory Management,"In the contemporary business environment mastering inventory management transcends mere necessity evolving into a strategic competitive advantage. Enterprises contend with a labyrinth of challenges including management of vast data volumes, intricate supply chain networks, and the critical need for real-time insights. Traditional inventory management approaches with their linear and static structures often stumble when confronted with the agility and depth demanded by this complexity.
In summary as businesses confront the multifaceted challenges of inventory management in today's dynamic landscape TigerGraph offers a compelling solution with ability to model complex relationships, deliver real-time insights, and adapt to change empowering organizations to turn inventory management into strategic advantage.",Q2,In design,In design,In design,,https://dmccrearytg.github.io/copilot-metadata/questions/inventory-management/
Network Digital Twin,"Cybersecurity is a crucial aspect of big organizations. Enterprises have their own data centers and their own network infrastructure involving a lot of devices. A well-planned attack can lead to serious issues, like data breach, corrupted files, and loss of data. Billions of dollars are lost each year due to cyberattacks.

TigerGraph allows you to connect data from different sources. Data at a scale of terabytes can be loaded into TigerGraph to give a comprehensive view of the network infrastructure of your organization. With visualizations in TigerGraph, users can gain a better visibility of the platform by seeing different components in their Network Infrastructure and tracing different paths leading from a suspicious device or IP address. Different graph algorithms can be run at scale and allows us to detect various kinds of cybersecurity attacks close to real-time. With TigerGraph, users can also extract graph features to Machine Learning models which has the potential to improve the accuracy of those models for tasks like anomaly detection.",Q2,In design,In design,In design,,https://dmccrearytg.github.io/copilot-metadata/questions/network-digital-twin-knolwedge-graph/
Personalization Solutions,,,,,,,
Customer ID (Entity Resultion),"Entity Resolution excels at accurately identifying and linking entities across disparate datasets focusing on Personally Identifiable Information (PII) such as digital fingerprints, email addresses, phone numbers, and physical addresses. By seamlessly integrating PII from various sources businesses can create a unified view of each customer. This comprehensive understanding empowers organizations to personalize marketing campaigns, tailor product recommendations, and optimize customer service interactions, fostering stronger customer relationships and driving business success.",Q1 - Currently available,"Cosine Similarity
Jaccard Similarity
Attribute-based Similarity (Exact Matching)
MinHash-based Similarity (Fuzzy Matching)
Weighted WCC (Full Graph)
Weighted WCC (Approximate)","Degree of connection to closest fraud customer
Path of connection to closest fraud customer
CC customer node count
Distinct count of each PII in CC
Count of nodes connected via each PII
Count of nodes only connected via each PII",Need input from Product Team,,
Product Recommendations,"Product Recommendations helps businesses create a personalized shopping experience for their customers by analyzing complex relationships between products and customers.  Combined with TigerGraph's scalable and high-performance graph processing capabilities Product Recommendations provides insights enabling hyper-personalized product recommendations increasing sales and customer satisfaction, real-time product categorization and classification, automated product recommendation engines, real-time tracking and monitoring of customer behavior.  Product Recommendations helps TigerGraph customers create seamless shopping experiences driving customer loyalty and growth.",Q1 - Currently available,"Jaccard Similarity
K-Means Clustering",Will need to research - do we have a list of questions we want to be answerable via ML Model?,In design and could use input from Product Team,,
Customer 360 (Jon),"Graph databases are pivotal for achieving a Customer 360 solution, unifying data from CRM systems, e-commerce, and support tickets into a cohesive whole. With 58% of business leaders struggling to meet customer experience expectations due to fragmented data, property graphs offer a comprehensive timeline of customer interactions by revealing relationships between diverse data points. This unified view helps resolve ambiguities, like entity resolution across acquisitions, while enabling organizations to deliver personalized, timely interactions that enhance satisfaction. For example, Optum reduced the time to generate a comprehensive customer timeline to less than 50 milliseconds using a graph database. This holistic understanding enables businesses to meet expectations efficiently, driving increased revenue by anticipating needs and creating higher-value relationships.",Q3,"SImilarity algorithms
WCC
PageRank
Louvain",Not started,Not started,,
Chatbot Solutions,,,,,,,
Rules,"Can execute rules in graph to classify data instances. Additionally, can retrieve data instances based upon these rules.",,"Concept traversal queries, both from a top-down (high-level concept -> data instance) and bottom-up (data instance -> all concepts it complies with)",N/A,,Could execute the decision tree directly in graph,
Motif (shape) Detection,"Have GSQL queries that detect patterns of common fraudulent or money laundering patterns, etc.",,Custom logic,N/A,,N/A,
"Anomaly Detection
(example)","Detect trends and drastic changes in vertex connections, attribute values, etc. Can be helpful for fraud or AML, as well as digital twin use cases.",,None implemented to date. Lots of different approaches in academia,"Binarized value of ""is anomaly"" or anomaly score",,"Can be used alone as a prompt to a human to look at it, or as input into a ML model such as XGBoost",
Support Q&A,"Load users own documents, build a knowledge graph from it, and perform hybrid graph+vector search to retrieve the right information in answer questions.",,"Retrieval methods that combine vector search + graph traversal (overlap of multiple indices, etc.)",Text and graph content retrieved,,For use with LLM,
Products Q&A,"Load users' product graph (or use existing product graph), extract documents from the text attributes of the relevant vertices (e.g., product descriptions) and build an associated knowledge graph. Optionally, convert numerical attributes of the vertices into vectors and index them into the vector DB. Finally,  perform hybrid graph+vector search retrieve the right information (vertices mainly) to answer questions.",,"Retrieval methods that combine vector search + graph traversal (overlap of multiple indices, etc.)",Text and graph content retrieved,,For use with LLM,
Services Q&A,"Load users' service graph (or use existing service graph), extract documents from the text attributes of the relevant vertices (e.g., service descriptions) and build an associated knowledge graph. Optionally, convert numerical attributes of the vertices into vectors and index them into the vector DB. Finally,  perform hybrid graph+vector search retrieve the right informationn (vertices mainly) to answer questions.",,"Retrieval methods that combine vector search + graph traversal (overlap of multiple indices, etc.)",Text and graph content retrieved,,For use with LLM,
